,Rebelle Stock
0,Adriafil Knitcol
1,Anzula Breeze
2,Anzula Cloud
3,Anzula Haiku
4,Anzula Lunaris
5,Anzula Nebula
6,Anzula Squishy
7,Anzula Wash My Lace
8,Artistic Yarn by Abi Self Striping Sock Yarn
9,Blue Sky Fibers Alpaca Silk
10,Blue Sky Fibers Brushed Suri
11,Blue Sky Fibers Extra
12,Blue Sky Fibers Worsted Cotton
13,Cascade 128 Superwash
14,Cascade 220
15,Cascade 220 Superwash Sport
16,Cascade Avalon
17,Cascade Baby Alpaca Chunky
18,Cascade Eco+
19,Cascade Eco Duo
20,Cascade Eco Wool
21,Cascade Heritage Silk
22,Cascade Highland Duo
23,Cascade Lana d'Oro
24,Cascade Pacific
25,Cascade Pacific Chunky
26,Cascade Ultra Pima
27,Cestari Mt Vernon Collection
28,Cestari Old Dominon Cotton
29,Cestari Traditional 2-ply
30,Collinette Jitterbug
31,Elsbeth Lavold Hempathy
32,Feederbrook Farms Entropy DK
33,Feederbrook Farms Entropy Sport
34,The Fiber Co. Arranmore
35,Frabjous Fibers Recycled Sari Yarn
36,Frabjous Fibers Silk Ribbon
37,Galler Yarns Heather Prime Alpaca
38,Hemp for Knitting Allhemp3
39,Hemp for Knitting Allhemp6
40,Hemp for Knitting Hempton
41,Juniper Moon Cumulus
42,Juniper Moon Zooey DK
43,Kelbourne Woolens Mojave
44,Knit Collage Cast Away
45,Knit Collage Pixie Dust
46,Knit Collage Sampler Kits
47,Knit Collage Spun Cloud
48,Knitted Wit Fingering
49,Knitted Wit Gumballs
50,Knitted Wit Sassy Holidays Sock Club
51,Knitted Wit Victory Fingering
52,Koigu KPPPM
53,Louisa Harding Amitola
54,Mad Tosh ASAP
55,Mad Tosh Prairie
56,Mad Tosh Tosh Merino Light
57,Mad Tosh Tosh Sock
58,Mad Tosh Vintage
59,Malabrigo Arroyo
60,Malabrigo Baby Silkpaca Lace
61,Malabrigo Caracol
62,Malabrigo Chunky
63,Malabrigo Dos Tierras
64,Malabrigo Lace
65,Malabrigo Mecha
66,Malabrigo Mechita
67,Malabrigo Mora
68,Malabrigo Nube
69,Malabrigo Rasta
70,Malabrigo Rastita
71,Malabrigo Rios
72,Malabrigo Silky Merino
73,Malabrigo Sock
74,Malabrigo Silky Merino
75,Malabrigo Worsted
76,mYak Baby Yak
77,Noro Kotori
78,Noro Kureyon
79,Noro Silk Garden
80,Noro Silk Garden Sock
81,Noro Silk Garden Sock Solo
82,Noro Silk Garden Solo
83,Ozark Handspun Ozark Handspun
84,Plymouth Yarns Arequipa Fur
85,Plymouth Yarns Equinox
86,Plymouth Yarns Happy Feet
87,Plymouth Yarns Homestead
88,Plymouth Yarns Incan Spice
89,Plymouth Yarns Linaza
90,Plymouth Yarns Nettle Grove
91,Plymouth Yarns Solstice
92,Plymouth Yarns Viento
93,Reywa Fibers Harmony
94,Reywa Fibers Bloom
95,Rhichard Devries Peppino
96,Schoppel Zauberball Crazy
97,Schoppel Zauberball Lace Ball
98,Spud and Chloe Sweater
99,Urth Yarns Uneek Sock
100,Urth Yarns Uneek Cotton
101,Wonderland Yarns Cheshire Cat Gradient Packs
102,Wonderland Yarns Mad Hatter Gradient Packs
103,Wonderland Yarns Queen of Hearts Gradient Packs
104,Yarn Rehab Rockshelter Sock
105,Yarn Rehab Silk Traveler
106,Zen Yarn Garden Serentiy 20
107,Zen Yarn Garden Serenity Glitter Sock
108,Dyed and Undyed Wool Combed Top Merino
109,Dyed and Undyed Wool Combed Top Jacob
110,Dyed and Undyed Wool Combed Top Shetland
111,Dyed and Undyed Wool Combed Top Portugese
112,Dyed and Undyed Wool Combed Top Falkland
113,Dyed and Undyed Wool Combed Top Blue Faced Leister
114,Dyed and Undyed Wool Combed Top Targhee
115,Dyed and Undyed Wool Combed Top Cheviot
116,Dyed and Undyed Wool Combed Top Corriedale Cross
117,Dyed and Undyed Wool Combed Top Baby Suri Alpaca
118,Dyed and Undyed Wool Combed Top Alpaca/Silk
119,Dyed and Undyed Wool Combed Top Cashmere/Silk
120,Dyed and Undyed Wool Combed Top Merino/Silk
121,Dyed and Undyed Wool Combed Top Kid Mohair
122,Hand Dyed Braids (various fibers) Malabrigo Nube
123,Hand Dyed Braids (various fibers) Deviant Stitches
124,Add-Ins Pulled Silk Fiber
125,Add-Ins Firestar
126,Add-Ins Angelina
127,Add-Ins Soffsilk
128,Add-Ins Silk Cocoons
129,Add-Ins Silk Noils
Unnamed: 0,Rebelle Stock
0,Adriafil Knitcol
1,Anzula Breeze
2,Anzula Cloud
3,Anzula Haiku
4,Anzula Lunaris
5,Anzula Nebula
6,Anzula Squishy
7,Anzula Wash My Lace
8,Artistic Yarn by Abi Self Striping Sock Yarn
9,Blue Sky Fibers Alpaca Silk
10,Blue Sky Fibers Brushed Suri
11,Blue Sky Fibers Extra
12,Blue Sky Fibers Worsted Cotton
13,Cascade 128 Superwash
14,Cascade 220
15,Cascade 220 Superwash Sport
16,Cascade Avalon
17,Cascade Baby Alpaca Chunky
18,Cascade Eco+
19,Cascade Eco Duo
20,Cascade Eco Wool
21,Cascade Heritage Silk
22,Cascade Highland Duo
23,Cascade Lana d'Oro
24,Cascade Pacific
25,Cascade Pacific Chunky
26,Cascade Ultra Pima
27,Cestari Mt Vernon Collection
28,Cestari Old Dominon Cotton
29,Cestari Traditional 2-ply
30,Collinette Jitterbug
31,Elsbeth Lavold Hempathy
32,Feederbrook Farms Entropy DK
33,Feederbrook Farms Entropy Sport
34,The Fiber Co. Arranmore
35,Frabjous Fibers Recycled Sari Yarn
36,Frabjous Fibers Silk Ribbon
37,Galler Yarns Heather Prime Alpaca
38,Hemp for Knitting Allhemp3
39,Hemp for Knitting Allhemp6
40,Hemp for Knitting Hempton
41,Juniper Moon Cumulus
42,Juniper Moon Zooey DK
43,Kelbourne Woolens Mojave
44,Knit Collage Cast Away
45,Knit Collage Pixie Dust
46,Knit Collage Sampler Kits
47,Knit Collage Spun Cloud
48,Knitted Wit Fingering
49,Knitted Wit Gumballs
50,Knitted Wit Sassy Holidays Sock Club
51,Knitted Wit Victory Fingering
52,Koigu KPPPM
53,Louisa Harding Amitola
54,Mad Tosh ASAP
55,Mad Tosh Prairie
56,Mad Tosh Tosh Merino Light
57,Mad Tosh Tosh Sock
58,Mad Tosh Vintage
59,Malabrigo Arroyo
60,Malabrigo Baby Silkpaca Lace
61,Malabrigo Caracol
62,Malabrigo Chunky
63,Malabrigo Dos Tierras
64,Malabrigo Lace
65,Malabrigo Mecha
66,Malabrigo Mechita
67,Malabrigo Mora
68,Malabrigo Nube
69,Malabrigo Rasta
70,Malabrigo Rastita
71,Malabrigo Rios
72,Malabrigo Silky Merino
73,Malabrigo Sock
74,Malabrigo Silky Merino
75,Malabrigo Worsted
76,mYak Baby Yak
77,Noro Kotori
78,Noro Kureyon
79,Noro Silk Garden
80,Noro Silk Garden Sock
81,Noro Silk Garden Sock Solo
82,Noro Silk Garden Solo
83,Ozark Handspun Ozark Handspun
84,Plymouth Yarns Arequipa Fur
85,Plymouth Yarns Equinox
86,Plymouth Yarns Happy Feet
87,Plymouth Yarns Homestead
88,Plymouth Yarns Incan Spice
89,Plymouth Yarns Linaza
90,Plymouth Yarns Nettle Grove
91,Plymouth Yarns Solstice
92,Plymouth Yarns Viento
93,Reywa Fibers Harmony
94,Reywa Fibers Bloom
95,Rhichard Devries Peppino
96,Schoppel Zauberball Crazy
97,Schoppel Zauberball Lace Ball
98,Spud and Chloe Sweater
99,Urth Yarns Uneek Sock
100,Urth Yarns Uneek Cotton
101,Wonderland Yarns Cheshire Cat Gradient Packs
102,Wonderland Yarns Mad Hatter Gradient Packs
103,Wonderland Yarns Queen of Hearts Gradient Packs
104,Yarn Rehab Rockshelter Sock
105,Yarn Rehab Silk Traveler
106,Zen Yarn Garden Serentiy 20
107,Zen Yarn Garden Serenity Glitter Sock
108,Dyed and Undyed Wool Combed Top Merino
109,Dyed and Undyed Wool Combed Top Jacob
110,Dyed and Undyed Wool Combed Top Shetland
111,Dyed and Undyed Wool Combed Top Portugese
112,Dyed and Undyed Wool Combed Top Falkland
113,Dyed and Undyed Wool Combed Top Blue Faced Leister
114,Dyed and Undyed Wool Combed Top Targhee
115,Dyed and Undyed Wool Combed Top Cheviot
116,Dyed and Undyed Wool Combed Top Corriedale Cross
117,Dyed and Undyed Wool Combed Top Baby Suri Alpaca
118,Dyed and Undyed Wool Combed Top Alpaca/Silk
119,Dyed and Undyed Wool Combed Top Cashmere/Silk
120,Dyed and Undyed Wool Combed Top Merino/Silk
121,Dyed and Undyed Wool Combed Top Kid Mohair
122,Hand Dyed Braids (various fibers) Malabrigo Nube
123,Hand Dyed Braids (various fibers) Deviant Stitches
124,Add-Ins Pulled Silk Fiber
125,Add-Ins Firestar
126,Add-Ins Angelina
127,Add-Ins Soffsilk
128,Add-Ins Silk Cocoons
129,Add-Ins Silk Noils
